   2.2716000e-03   1.2735711e+01   5.3527459e-01
   2.5126000e-03   1.0481516e+01   4.0239281e-01
   2.7537000e-03   8.3698101e+00   3.0786558e-01
   2.9948000e-03   7.1951415e+00   2.9756814e-01
   3.2359000e-03   5.9647888e+00   2.2542771e-01
   3.4769000e-03   5.1909828e+00   1.8639103e-01
   3.7180000e-03   4.5407317e+00   1.6950563e-01
   3.9591000e-03   4.0704039e+00   1.5072056e-01
   4.2002000e-03   3.6330984e+00   1.3763199e-01
   4.4412000e-03   3.3299175e+00   1.1760112e-01
   4.6823000e-03   3.0572381e+00   1.1049511e-01
   4.9234000e-03   2.7444793e+00   1.0147497e-01
   5.1644000e-03   2.5983088e+00   8.7758332e-02
   5.4055000e-03   2.3425989e+00   7.5765207e-02
   5.6466000e-03   2.1869128e+00   7.4402912e-02
   5.8877000e-03   1.9991308e+00   6.7984353e-02
   6.1287000e-03   1.8326941e+00   5.5432027e-02
   6.3698000e-03   1.7077771e+00   5.6066473e-02
   6.6109000e-03   1.5683169e+00   4.9716326e-02
   6.8520000e-03   1.4303694e+00   4.6877087e-02
   7.0930000e-03   1.3419226e+00   4.4756282e-02
   7.3341000e-03   1.2159610e+00   3.5193801e-02
   7.5752000e-03   1.1610787e+00   3.5270260e-02
   7.8163000e-03   1.0785887e+00   2.8867854e-02
   8.0573000e-03   1.0101491e+00   2.9444132e-02
   8.2984000e-03   9.2220658e-01   2.3906117e-02
   8.5395000e-03   8.8006017e-01   2.2645231e-02
   8.7805000e-03   8.4756765e-01   2.3808845e-02
   9.0216000e-03   8.1152514e-01   2.4354599e-02
   9.2627000e-03   7.6224172e-01   2.0231097e-02
   9.5038000e-03   7.4041802e-01   2.0674034e-02
   9.7448000e-03   7.0956515e-01   2.1997859e-02
   9.9859000e-03   6.8492938e-01   1.7470264e-02
   1.0227000e-02   6.3157674e-01   1.5630466e-02
   1.0468000e-02   6.2399293e-01   1.5021410e-02
   1.0709000e-02   6.0038596e-01   1.4212322e-02
